codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,anual_prodution
4100707,2008,20080701.5,12.59,23.185000000000002,17.425,20.21,29.67,17.415,22.87,12.88,73.155,0.11499999999999999,97.59,1.02,1.63,0.565,1.08,2.34,3.34,1.3050000000000002,2.115,4.17,6.175,2.0700000000000003,3.875,0.66,0.65,0.655,18.8,24.025,33.735,98.59,124.89500000000001,12.77,0.34,1.66,2701.0
4100707,2009,20090702.0,11.01,24.27,18.75,21.39,29.74,18.73,23.94,13.98,78.94,0.55,97.56,0.98,1.6,0.53,1.09,2.22,3.3,1.25,2.07,3.98,5.81,1.86,3.7,0.77,0.73,0.73,17.91,23.5,33.72,94.63,124.31,12.34,0.34,1.64,2097.0
4100707,2010,20100702.0,11.05,22.87,17.05,19.54,28.83,16.69,22.86,12.45,80.38,0.17,97.62,1.09,1.74,0.6,1.12,2.45,3.62,1.52,2.09,4.42,6.16,2.65,3.61,0.74,0.71,0.72,17.42,22.86,33.72,90.33,118.49,11.55,0.31,1.41,3130.0
4100707,2011,20110702.0,11.21,23.05,18.25,20.36,28.72,17.49,22.82,13.55,78.75,0.1,97.61,1.03,1.66,0.57,1.13,2.32,3.41,1.29,2.11,4.13,6.02,2.19,3.7,0.73,0.7,0.71,17.64,23.86,33.69,93.43,125.33,12.27,0.34,1.63,3310.0
4100707,2012,20120701.5,12.735,24.83,17.1,21.115,31.145,18.58,24.615000000000002,12.57,70.655,0.1,97.58,1.05,1.775,0.55,1.23,2.38,3.66,1.295,2.28,4.1899999999999995,6.1899999999999995,1.995,3.8,0.62,0.62,0.62,18.665,24.545,33.76,98.27000000000001,128.01500000000001,12.8,0.34,1.665,2000.0
4100707,2013,20130702.0,11.72,22.82,17.88,20.24,28.65,17.34,22.61,13.18,77.81,0.15,97.63,1.06,1.77,0.59,1.14,2.41,3.62,1.38,2.2,4.32,6.17,2.25,3.79,0.72,0.69,0.69,17.96,23.68,33.73,93.71,123.43,12.1,0.32,1.55,3000.0
4100707,2014,20140702.0,11.24,24.08,18.59,21.35,29.56,18.72,23.72,13.85,78.38,0.36,97.63,1.09,1.75,0.62,1.16,2.48,3.61,1.52,2.18,4.54,6.27,2.52,3.62,0.71,0.68,0.68,17.43,23.23,33.73,92.8,120.59,12.21,0.33,1.59,3192.0
4100707,2015,20150702.0,11.24,24.88,19.43,22.27,29.8,19.63,24.59,14.59,77.81,0.75,97.64,1.02,1.66,0.57,1.12,2.3,3.48,1.31,2.17,4.09,5.92,2.14,3.73,0.69,0.66,0.66,16.49,23.7,33.69,88.53,123.08,11.52,0.3,1.55,3488.0
4100707,2016,20160701.5,10.675,22.674999999999997,18.369999999999997,20.39,28.064999999999998,17.424999999999997,22.425,13.61,81.75,0.22499999999999998,97.695,1.0150000000000001,1.625,0.57,1.0550000000000002,2.315,3.43,1.34,2.05,4.1850000000000005,6.125,2.205,3.705,0.82,0.8,0.8,17.835,24.2,33.75,95.93,125.15,12.435,0.35,1.7149999999999999,2589.0
4100707,2017,20170702.0,11.06,23.71,18.8,21.0,29.43,18.37,23.43,14.04,80.0,0.34,97.66,1.05,1.73,0.61,1.14,2.39,3.62,1.46,2.2,4.28,6.08,2.45,3.53,0.75,0.72,0.73,17.38,23.62,33.71,90.01,123.65,11.55,0.32,1.58,3700.0
